Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
nugme-studio-pro-subscription,NugMe Studio Pro — Creator Subscription,"<p>Full access to the NugMe creative toolset, digital asset library, automated project utilities, and subscriber-exclusive monthly drops.</p>",NugMe Studio,Business & Productivity Software,Software Subscription,"Software, Digital, Subscription, Creator Tools",TRUE,Billing Plan,Monthly (/mo),,,,,NUG-SW-M,0,shopify,25,continue,manual,19.00,,FALSE,TRUE,,,,,FALSE,NugMe Studio Pro — Creator Subscription,"<p>Full access to the NugMe creative toolset, digital asset library, automated project utilities, and subscriber-exclusive monthly drops.</p>...",active
nugme-studio-pro-subscription,,,,,,,TRUE,Billing Plan,Annual (/yr - Save 20%),,,,,NUG-SW-A,0,shopify,25,continue,manual,180.00,,FALSE,TRUE,,,,,FALSE,,,active
gourmet-heat-attack-audio-plugin,Gourmet Heat Attack — Analog Saturation & Resonant Filter (VST3/AU),<p>Unleash the dipping sauce aura on your audio tracks. A versatile analogue tube saturation and fiery resonant filter audio plugin inspired by 90s anime heat.</p>,NugMe Studio,Audio & Video Software,Digital Software,"Software, Audio, VST, Digital Download",TRUE,Format,Universal (macOS AU & VST3 / Win VST3),,,,,NUG-VST-GHA,0,shopify,25,continue,manual,49.00,,FALSE,TRUE,,,,,FALSE,Gourmet Heat Attack — Analog Saturation & Resonant Filter (VST3/AU),<p>Unleash the dipping sauce aura on your audio tracks. A versatile analogue tube saturation and fiery resonant filter audio plugin inspired by 90s an...,active
dipping-sauce-aura-ost,Dipping Sauce Aura — Original Soundtrack (Digital Album),"<p>14 original tracks of nostalgic 90s crunch beats, ambient synth layers, and high-energy battle anthems. Includes digital art booklet and lossless stems.</p>",NugMe Studio,Music,Digital Music,"Music, Digital Album, Lo-Fi, Synth, OST",TRUE,Format,Lossless 24-bit FLAC + 320kbps MP3,,,,,NUG-MUS-OST,0,shopify,25,continue,manual,12.00,,FALSE,TRUE,,,,,FALSE,Dipping Sauce Aura — Original Soundtrack (Digital Album),"<p>14 original tracks of nostalgic 90s crunch beats, ambient synth layers, and high-energy battle anthems. Includes digital art booklet and lossless s...",active
crispy-crunch-sample-pack,Crispy Crunch Drum & Foley Production Sample Pack Vol. 1,"<p>Over 250 royalty-free crunchy percussion hits, vinyl crackles, sauce squelches, and custom analog synth stabs for beatmakers and producers.</p>",NugMe Studio,Sound Effects & Samples,Digital Music,"Music, Samples, Production, Digital Download",TRUE,Edition,Complete Sound Bank (WAV + Ableton Rack),,,,,NUG-SMP-01,0,shopify,25,continue,manual,15.00,,FALSE,TRUE,,,,,FALSE,Crispy Crunch Drum & Foley Production Sample Pack Vol. 1,"<p>Over 250 royalty-free crunchy percussion hits, vinyl crackles, sauce squelches, and custom analog synth stabs for beatmakers and producers.</p>...",active
hand-bound-leather-grimoire-journal,Hand-Bound Full Leather Grimoire & Journal (Archival Cotton Paper),<p>Hand-bound using traditional long-stitch binding with 240 pages of 120gsm unlined acid-free cotton paper. Genuine full-grain oiled leather wrap with wrap-around tie closure.</p>,NugMe Studio,Notebooks & Notepads,Bookbinding,"Bookbinding, Leather, Handcrafted, Physical, Stationery",TRUE,Leather Shade,Chestnut Oiled Leather,,,,,NUG-BK-LTH-C,200,shopify,25,deny,manual,78.00,,TRUE,TRUE,,,,,FALSE,Hand-Bound Full Leather Grimoire & Journal (Archival Cotton Paper),<p>Hand-bound using traditional long-stitch binding with 240 pages of 120gsm unlined acid-free cotton paper. Genuine full-grain oiled leather wrap wit...,active
hand-bound-leather-grimoire-journal,,,,,,,TRUE,Leather Shade,Espresso Dark Roast,,,,,NUG-BK-LTH-E,200,shopify,25,deny,manual,78.00,,TRUE,TRUE,,,,,FALSE,,,active
coptic-bound-sketchbook,Exposed Spine Coptic Bound Artist Sketchbook,"<p>Lies 100% flat at any page. Hand-sewn with durable waxed linen thread, featuring hand-marbled endpapers and 200gsm cold-press mixed-media paper.</p>",NugMe Studio,Sketchbooks,Bookbinding,"Bookbinding, Sketchbook, Handcrafted, Physical",TRUE,Cover Pattern,Chiyogami Gold Honey Wave,,,,,NUG-BK-CPT-G,200,shopify,25,deny,manual,45.00,,TRUE,TRUE,,,,,FALSE,Exposed Spine Coptic Bound Artist Sketchbook,"<p>Lies 100% flat at any page. Hand-sewn with durable waxed linen thread, featuring hand-marbled endpapers and 200gsm cold-press mixed-media paper.</p...",active
coptic-bound-sketchbook,,,,,,,TRUE,Cover Pattern,Botanical Ink Linen,,,,,NUG-BK-CPT-B,200,shopify,25,deny,manual,45.00,,TRUE,TRUE,,,,,FALSE,,,active
heavyweight-canvas-maker-tote,Heavyweight 18oz Cotton Duck Canvas Maker Tote,"<p>Indestructible 18oz cotton duck canvas with reinforced bar-tacked handles, brass key clip, interior divider pocket, and subtle NugMe studio woven label.</p>",NugMe Studio,Tote Bags,Canvas Bags,"Canvas Bags, Sewing, Handcrafted, Physical, Apparel",TRUE,Colorway,Natural Golden Buttermilk,,,,,NUG-BAG-NAT,200,shopify,25,deny,manual,42.00,,TRUE,TRUE,,,,,FALSE,Heavyweight 18oz Cotton Duck Canvas Maker Tote,"<p>Indestructible 18oz cotton duck canvas with reinforced bar-tacked handles, brass key clip, interior divider pocket, and subtle NugMe studio woven l...",active
heavyweight-canvas-maker-tote,,,,,,,TRUE,Colorway,Crispy Roast Brown,,,,,NUG-BAG-BRN,200,shopify,25,deny,manual,42.00,,TRUE,TRUE,,,,,FALSE,,,active
waxed-canvas-linen-project-roll,Hand-Tailored Waxed Canvas & Linen Maker Tool Roll,"<p>Designed for tools, sewing supplies, needles, and brushes. Water-resistant Scottish waxed canvas lined with heavy unbleached Belgian linen with hand-hammered copper rivets.</p>",NugMe Studio,Tool Bags & Organizers,Sewing Projects,"Sewing, Handcrafted, Organizers, Physical",TRUE,Lining Fabric,Natural Belgian Linen,,,,,NUG-SEW-RLL-1,200,shopify,25,deny,manual,48.00,,TRUE,TRUE,,,,,FALSE,Hand-Tailored Waxed Canvas & Linen Maker Tool Roll,"<p>Designed for tools, sewing supplies, needles, and brushes. Water-resistant Scottish waxed canvas lined with heavy unbleached Belgian linen with han...",active
gourmet-heat-attack-woodburning,'Gourmet Heat Attack' Pyrography Hardwood Live-Edge Round,"<p>Detailed hand-burned pyrography art depicting the fiery aura nugget warrior on raw, kiln-dried live-edge cedar round. Finished with all-natural organic beeswax & walnut oil.</p>",NugMe Studio,Visual Artwork,Woodburning Art,"Woodburning, Art, Pyrography, Handcrafted, Physical, Mascot",TRUE,Size,Medium Round (8-9 inch),,,,,NUG-WD-GHA-M,200,shopify,25,deny,manual,85.00,,TRUE,TRUE,,,,,FALSE,'Gourmet Heat Attack' Pyrography Hardwood Live-Edge Round,"<p>Detailed hand-burned pyrography art depicting the fiery aura nugget warrior on raw, kiln-dried live-edge cedar round. Finished with all-natural org...",active
gourmet-heat-attack-woodburning,,,,,,,TRUE,Size,Large Round (10-12 inch),,,,,NUG-WD-GHA-L,200,shopify,25,deny,manual,120.00,,TRUE,TRUE,,,,,FALSE,,,active
botanical-woodburning-coasters-set,Set of 4 Botanical Pyrography Hardwood Drink Coasters,"<p>Set of four solid oak drink coasters, each individually hand-burned with delicate botanical motifs. Heat and moisture resistant food-safe beeswax finish.</p>",NugMe Studio,Coasters,Woodburning Art,"Woodburning, Home Goods, Handcrafted, Physical",TRUE,Wood Species,Solid American White Oak (Set of 4),,,,,NUG-WD-CST-4,200,shopify,25,deny,manual,34.00,,TRUE,TRUE,,,,,FALSE,Set of 4 Botanical Pyrography Hardwood Drink Coasters,"<p>Set of four solid oak drink coasters, each individually hand-burned with delicate botanical motifs. Heat and moisture resistant food-safe beeswax f...",active
artisan-bobbin-lace-collar,Artisan Handcrafted Bobbin Lace Collar & Heirloom Trim,<p>Meticulously hand-worked over 40+ hours using 100% fine Egyptian cotton thread on traditional lace pillows. An heirloom textile work of art with vintage brass closure.</p>,NugMe Studio,Clothing Accessories,Lace & Textiles,"Lace, Handcrafted, Vintage Textile, Physical",TRUE,Colorway,Vintage Antique Ecru,,,,,NUG-LCE-CLR-ECR,200,shopify,25,deny,manual,95.00,,TRUE,TRUE,,,,,FALSE,Artisan Handcrafted Bobbin Lace Collar & Heirloom Trim,<p>Meticulously hand-worked over 40+ hours using 100% fine Egyptian cotton thread on traditional lace pillows. An heirloom textile work of art with vi...,active
artisan-bobbin-lace-collar,,,,,,,TRUE,Colorway,Pure Soft Alabaster,,,,,NUG-LCE-CLR-WHT,200,shopify,25,deny,manual,95.00,,TRUE,TRUE,,,,,FALSE,,,active
